MI|TE1|rTE1|TE2|rTE2|2|3_1|3_2|4_1|4_2|5|6_1|6_2|3_1_I|3_2_I|4_1_I|4_2_I|5_I|6_1_I|6_2_I|
114:+0.470|+0.000|-0.396|+0.108|-0.000|+0.000|-0.504|+0.000|+0.000|+0.000|+0.000|+0.000|+0.522|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
115:+0.974|+0.000|+0.108|-0.414|-0.000|+0.000|+0.504|+0.000|+0.000|+0.000|+0.000|+0.000|+0.540|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
116:+0.452|+0.000|+0.630|+0.108|-0.000|+0.000|+0.522|+0.000|+0.000|+0.000|+0.000|+0.000|-0.540|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
117:-0.070|+0.000|+0.108|+0.648|-0.000|+0.000|-0.522|+0.000|+0.000|+0.000|+0.000|+0.000|-0.540|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
118:+0.470|+0.000|-0.414|+0.108|-0.000|+0.000|-0.522|+0.000|+0.000|+0.000|+0.000|+0.000|+0.540|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
119:+0.992|+0.000|+0.108|-0.432|-0.000|+0.000|+0.522|+0.000|+0.000|+0.000|+0.000|+0.000|+0.558|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
120:+0.452|+0.000|+0.648|+0.108|-0.000|+0.000|+0.540|+0.000|+0.000|+0.000|+0.000|+0.000|-0.558|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
121:-0.089|+0.000|+0.108|+0.666|-0.000|+0.000|-0.540|+0.000|+0.000|+0.000|+0.000|+0.000|-0.558|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
122:+0.470|+0.000|-0.432|+0.108|-0.000|+0.000|-0.540|+0.000|+0.000|+0.000|+0.000|+0.000|+0.558|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
123:+1.009|+0.000|+0.108|-0.450|-0.000|+0.000|+0.540|+0.000|+0.000|+0.000|+0.000|+0.000|+0.576|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
124:+0.451|+0.000|+0.666|+0.108|-0.000|+0.000|+0.558|+0.000|+0.000|+0.000|+0.000|+0.000|-0.576|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
125:-0.107|+0.000|+0.108|+0.684|-0.000|+0.000|-0.558|+0.000|+0.000|+0.000|+0.000|+0.000|-0.576|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
126:+0.469|+0.000|-0.450|+0.108|-0.000|+0.000|-0.558|+0.000|+0.000|+0.000|+0.000|+0.000|+0.576|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
127:+1.027|+0.000|+0.108|-0.468|-0.000|+0.000|+0.558|+0.000|+0.000|+0.000|+0.000|+0.000|+0.594|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
128:+0.451|+0.000|+0.684|+0.108|-0.000|+0.000|+0.576|+0.000|+0.000|+0.000|+0.000|+0.000|-0.594|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
129:-0.125|+0.000|+0.108|+0.702|-0.000|+0.000|-0.576|+0.000|+0.000|+0.000|+0.000|+0.000|-0.594|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
130:+0.469|+0.000|-0.468|+0.108|-0.000|+0.000|-0.576|+0.000|+0.000|+0.000|+0.000|+0.000|+0.594|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
