H0|H0'|E|1|1_p1|1_p2|partial1|
206:+0.600|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
207:+0.582|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
208:+0.582|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
209:+0.600|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
210:+0.600|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
211:+0.582|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
212:+0.582|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
213:+0.600|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
214:+0.600|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
215:+0.582|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
216:+0.582|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
217:+0.600|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
218:+0.600|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
219:+0.582|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
220:+0.582|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
221:+0.600|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
222:+0.600|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
223:+0.582|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
224:+0.582|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
225:+0.600|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
226:+0.600|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
227:+0.582|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
228:+0.582|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
229:+0.600|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
230:+0.600|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
231:+0.582|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
232:+0.582|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
233:+0.600|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
234:+0.600|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
235:+0.582|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
236:+0.582|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
237:+0.600|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
238:+0.600|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
239:+0.582|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
240:+0.582|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
241:+0.600|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
242:+0.600|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
243:+0.582|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
244:+0.582|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
245:+0.600|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
246:+0.600|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
247:+0.582|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
248:+0.582|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
249:+0.600|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
250:+0.600|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
251:+0.582|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
252:+0.582|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
253:+0.600|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
254:+0.600|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
255:+0.582|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
256:+0.582|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
257:+0.600|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
258:+0.601|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
259:+0.583|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
260:+0.583|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
261:+0.601|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
262:+0.601|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
263:+0.583|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
264:+0.583|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
265:+0.601|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
266:+0.601|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
267:+0.583|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
268:+0.583|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
269:+0.601|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
270:+0.601|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
271:+0.583|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
272:+0.583|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
273:+0.602|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
274:+0.602|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
275:+0.584|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
276:+0.584|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
277:+0.602|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
278:+0.602|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
279:+0.584|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
280:+0.584|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
281:+0.602|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
282:+0.602|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
283:+0.584|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
284:+0.584|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
285:+0.602|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
286:+0.603|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
287:+0.585|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
288:+0.585|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
289:+0.603|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
290:+0.603|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
291:+0.585|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
292:+0.585|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
293:+0.603|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
294:+0.603|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
295:+0.585|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
296:+0.585|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
297:+0.603|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
298:+0.604|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
299:+0.586|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
300:+0.586|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
301:+0.604|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
302:+0.604|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
303:+0.586|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
304:+0.586|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
305:+0.604|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
306:+0.604|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
307:+0.586|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
308:+0.586|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
309:+0.604|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
310:+0.604|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
311:+0.586|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
312:+0.587|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
313:+0.605|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
314:+0.605|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
315:+0.587|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
316:+0.587|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
317:+0.605|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
318:+0.605|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
319:+0.587|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
320:+0.587|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
321:+0.605|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
322:+0.605|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
323:+0.587|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
