H0|H0'|E|1|1_p1|1_p2|partial1|
344:+0.594|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
345:+0.594|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
346:+0.576|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
347:+0.576|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
348:+0.594|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
349:+0.594|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
350:+0.576|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
351:+0.576|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
352:+0.594|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
353:+0.594|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
354:+0.576|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
355:+0.576|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
356:+0.594|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
357:+0.594|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
358:+0.577|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
359:+0.577|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
360:+0.595|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
361:+0.595|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
362:+0.577|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
363:+0.577|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
364:+0.595|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
